x,g_lower,g_upper,g_median,up_lower,up_upper,up_median,dp_lower,dp_upper,dp_median,sp_lower,sp_upper,sp_median,um_lower,um_upper,um_median,dm_lower,dm_upper,dm_median,sm_lower,sm_upper,sm_median
8.79923E-07,-0.03702924,0.030263413,-0.007051475,-0.003192095,0.003990783,0.000672076,-0.003298681,0.003959147,0.000639467,-0.003304504,0.003878704,0.000649378,-6.94501E-05,-4.354E-07,-3.27172E-05,-9.94371E-05,2.59826E-05,-3.73211E-05,8.77733E-05,0.000178824,0.000133212
1.02353E-06,-0.037555673,0.030684837,-0.007085618,-0.003237477,0.004047224,0.000676767,-0.003360577,0.00401755,0.000639747,-0.003361755,0.003931679,0.000640145,-7.74451E-05,-3.19584E-07,-3.66486E-05,-0.000110815,2.95438E-05,-4.14716E-05,9.74756E-05,0.000198944,0.000147964
1.19058E-06,-0.037066156,0.030268787,-0.006913407,-0.00327372,0.004104858,0.00068109,-0.003425212,0.004077032,0.000639062,-0.003421099,0.003985261,0.000629289,-8.63479E-05,-1.43911E-07,-4.09158E-05,-0.00012354,3.30192E-05,-4.6081E-05,0.000108166,0.0002213,0.000164321
1.38489E-06,-0.03760455,0.030689455,-0.006945206,-0.003322838,0.004177281,0.000685,-0.003492814,0.004132419,0.000637283,-0.003482671,0.004039418,0.000616648,-9.62595E-05,8.4046E-08,-4.52989E-05,-0.000137652,3.76645E-05,-5.09932E-05,0.000120009,0.000246133,0.000182455
1.61091E-06,-0.03815668,0.03111515,-0.006976749,-0.003282411,0.004126396,0.000668552,-0.00347163,0.004074726,0.000614635,-0.003460293,0.003982848,0.000581037,-0.000106377,3.95453E-07,-4.949E-05,-0.000151971,4.28493E-05,-5.5647E-05,0.000131903,0.00027126,0.000200546
1.87382E-06,-0.038759111,0.031545592,-0.007008322,-0.003332231,0.004179873,0.000671283,-0.003540676,0.004130053,0.000610063,-0.003539704,0.004036481,0.000564335,-0.000118544,7.29282E-07,-5.50397E-05,-0.000169519,4.88949E-05,-6.13514E-05,0.000146404,0.000301603,0.000222216
2.17964E-06,-0.038323251,0.031112819,-0.006836857,-0.003382988,0.004249854,0.00067344,-0.003607455,0.004183781,0.000603926,-0.003598922,0.004080684,0.000572229,-0.000132079,1.31604E-06,-6.10894E-05,-0.000188274,5.46792E-05,-6.78658E-05,0.0001619,0.000335287,0.000246178
2.53536E-06,-0.038936578,0.031539337,-0.006868803,-0.003434666,0.004321939,0.000674959,-0.00367728,0.004235982,0.000596026,-0.003656815,0.004121493,0.000590659,-0.000147131,1.90493E-06,-6.75986E-05,-0.000209484,6.08225E-05,-7.50409E-05,0.000178988,0.000372671,0.000273044
2.94915E-06,-0.039559281,0.032012584,-0.006902065,-0.003393686,0.004280004,0.000655713,-0.003653341,0.004169988,0.000566514,-0.003633812,0.004044056,0.000577993,-0.000162442,2.66711E-06,-7.40225E-05,-0.000230644,6.70269E-05,-8.33361E-05,0.000195805,0.000410378,0.000299627
3.43047E-06,-0.040051304,0.032546902,-0.006937201,-0.0034457,0.004354857,0.000655581,-0.003728596,0.004219392,0.000554295,-0.003696146,0.004111784,0.000558013,-0.00018087,3.58753E-06,-8.1842E-05,-0.00025623,7.50316E-05,-9.08313E-05,0.000216335,0.000455955,0.000332228
3.99034E-06,-0.040688579,0.033098375,-0.006974857,-0.003498501,0.00443216,0.000654599,-0.0038078,0.004267886,0.000539585,-0.003757729,0.004183244,0.000535159,-0.000201342,4.30288E-06,-9.12459E-05,-0.00028735,8.58688E-05,-9.91878E-05,0.000238943,0.000506495,0.000368294
4.64159E-06,-0.040244667,0.032826654,-0.006815224,-0.003552028,0.004512061,0.00065268,-0.003891341,0.004315212,0.000522081,-0.003824382,0.004245218,0.000559306,-0.00022334,5.51172E-06,-0.000101612,-0.000319846,9.81847E-05,-0.000109206,0.000263828,0.000562522,0.00040818
5.39912E-06,-0.040963851,0.033478138,-0.006859857,-0.003606208,0.004594726,0.000649737,-0.003979654,0.004387256,0.000501442,-0.003889901,0.004298462,0.000585766,-0.000249318,7.48547E-06,-0.000111466,-0.000355962,0.00011217,-0.000120212,0.000291208,0.000624613,0.000451607
6.28029E-06,-0.041701336,0.034152779,-0.00690967,-0.003549926,0.004557907,0.00063677,-0.003962146,0.004312188,0.000457942,-0.003859412,0.00423209,0.000587666,-0.000274849,9.45095E-06,-0.000121735,-0.000391424,0.000123306,-0.000130841,0.000317927,0.000686179,0.000494129
7.30527E-06,-0.042455451,0.034851494,-0.006965792,-0.003602421,0.004644641,0.000658732,-0.004039291,0.004354261,0.000429871,-0.003944411,0.004283018,0.000572542,-0.000304765,1.1662E-05,-0.000135825,-0.000431227,0.000135309,-0.000143966,0.000350641,0.000760494,0.000546013
8.49753E-06,-0.042013569,0.034659057,-0.006833516,-0.003655543,0.004734673,0.000682476,-0.0041202,0.00439608,0.000397426,-0.004057469,0.004349979,0.000584213,-0.000337547,1.50664E-05,-0.000149623,-0.000475915,0.000148507,-0.000158377,0.00038657,0.000842993,0.000603152
9.88438E-06,-0.042741463,0.035391438,-0.006906066,-0.00370921,0.004828233,0.000708211,-0.004210686,0.004437548,0.000360087,-0.004162372,0.00442534,0.000549105,-0.000374972,1.7703E-05,-0.000164723,-0.000532166,0.000162606,-0.000173987,0.000426008,0.000932376,0.000667409
1.14976E-05,-0.043656846,0.036085066,-0.006989356,-0.003661777,0.004803994,0.000719952,-0.004247006,0.004353049,0.000298827,-0.00418593,0.004394286,0.000490914,-0.000413465,2.01065E-05,-0.00018235,-0.000590233,0.000177721,-0.000189966,0.000464159,0.001019967,0.000728548
1.3374E-05,-0.044650171,0.03677778,-0.007085247,-0.003714634,0.004915679,0.000750013,-0.004392779,0.004392099,0.000250088,-0.004321617,0.004407498,0.000464122,-0.000459807,2.37322E-05,-0.000199712,-0.000652938,0.000203907,-0.000208252,0.000511017,0.001130458,0.000802786
1.55568E-05,-0.045744586,0.037263588,-0.00719584,-0.003759545,0.005000968,0.000782843,-0.004532301,0.004430366,0.000196755,-0.00443874,0.004479142,0.000433567,-0.000511146,2.86452E-05,-0.000222661,-0.000720397,0.000235377,-0.000228918,0.000562337,0.001252332,0.000887687
1.80957E-05,-0.045625033,0.03678755,-0.007132362,-0.003786841,0.00510914,0.000818777,-0.004679304,0.004411823,0.000131488,-0.004562546,0.004570641,0.000407898,-0.000567988,3.44555E-05,-0.000248808,-0.00080037,0.000268102,-0.000251591,0.000618501,0.001386949,0.000981944
2.1049E-05,-0.045755928,0.03755049,-0.007279521,-0.003873273,0.005222335,0.000858192,-0.004837666,0.004389226,5.99624E-05,-0.004693489,0.004634181,0.000359476,-0.00063039,4.13162E-05,-0.00027238,-0.00089088,0.000299424,-0.000276461,0.000679918,0.001531925,0.001088369
2.44844E-05,-0.046606131,0.038344129,-0.007449329,-0.003817163,0.005205589,0.000883565,-0.00489408,0.004301796,-3.7245E-05,-0.004712937,0.004521299,0.000296329,-0.000692161,4.96638E-05,-0.000294183,-0.000980864,0.000338834,-0.000300924,0.000738491,0.001672055,0.001190509
2.84804E-05,-0.047522475,0.039170062,-0.0076451,-0.003860161,0.005327617,0.000930766,-0.005076043,0.004314378,-1.39917E-05,-0.004866077,0.004535795,0.000246484,-0.000768333,5.921E-05,-0.000325627,-0.001093291,0.000382133,-0.000331237,0.00081074,0.001847495,0.001313123
3.31285E-05,-0.047292769,0.039008658,-0.007683669,-0.003916753,0.00545597,0.000982861,-0.005272995,0.004325714,-0.000119142,-0.005064022,0.004545744,0.000190419,-0.000853134,6.74511E-05,-0.000354485,-0.001216097,0.000423304,-0.000362267,0.00088964,0.00203627,0.001448679
3.85353E-05,-0.048332002,0.039884625,-0.007942268,-0.003963657,0.005595076,0.001043923,-0.005438949,0.004233447,-0.000270552,-0.005226358,0.004632003,0.000107432,-0.000946513,7.56909E-05,-0.000389658,-0.001352379,0.000483376,-0.000396239,0.000975502,0.002245719,0.001599038
4.48245E-05,-0.04942115,0.040797211,-0.00823909,-0.003905563,0.00559183,0.001173887,-0.005471388,0.004009871,-0.00045507,-0.00530261,0.004566285,-2.22758E-05,-0.001038333,8.735E-05,-0.000422935,-0.00148998,0.000533655,-0.000431768,0.001057716,0.00244882,0.001745538
5.21401E-05,-0.050563612,0.04151554,-0.008579223,-0.003934514,0.00573999,0.00129057,-0.005775377,0.00395487,-0.000595898,-0.005505845,0.004650933,-0.000141458,-0.001149487,0.000101861,-0.000463826,-0.001656024,0.000587111,-0.000474028,0.001165129,0.002697076,0.001924717
6.06496E-05,-0.051763008,0.042103678,-0.008533081,-0.003917784,0.005897037,0.001383388,-0.006064732,0.003884937,-0.000795353,-0.005700543,0.004690309,-0.000218718,-0.00127174,0.000122637,-0.000508073,-0.001841467,0.000649013,-0.000520289,0.001282702,0.002968355,0.002117619
7.0548E-05,-0.051732866,0.042216878,-0.008099835,-0.003951772,0.006047747,0.001513437,-0.006382524,0.003812606,-0.00101867,-0.005861138,0.004658631,-0.000202307,-0.00140606,0.000144836,-0.00055478,-0.002041741,0.000716934,-0.000571043,0.001405956,0.00326784,0.002326007
8.20619E-05,-0.05315873,0.043416012,-0.00878883,-0.003947725,0.006180981,0.001669343,-0.006698108,0.003692915,-0.001243141,-0.006061896,0.004690038,-0.000221069,-0.001551547,0.000170719,-0.000599129,-0.002261177,0.000794806,-0.000626789,0.001532193,0.00359332,0.002552755
